phone_full_name,phone_review_rating,phone_rate_number,phone_sale_price
"Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)",4.1,"7,960 ratings",Not available
"SAMSUNG Galaxy S22 Cell Phone, Factory Unlocked 128GB (Renewed), Black",3.8,35 ratings,Not available
"Apple iPhone SE (2nd Generation), 64GB, Red - Unlocked (Renewed)",4.2,"20,323 ratings",Not available
"Samsung Galaxy Note 20 5G (128GB, 8GB) 6.7"" AMOLED+, Snapdragon 865, Global 5G VoLTE (Fully Unlocked for AT&T, Verizon, Sprint, Metro) N981U (Mystic Bronze) (Renewed)",4.1,"1,100 ratings",Not available
"SAMSUNG Galaxy S22 Ultra 5G, US Version, 128GB, Black - Unlocked (Renewed)",3.7,"5,299 ratings",Not available
"Samsung Galaxy A12 (32GB, 3GB) 6.5"" HD+, Quad Camera, 5000mAh Battery, Global 4G Volte (AT&T Unlocked for T-Mobile, Verizon, Metro) A125U (Black) (Renewed)",3.8,"1,937 ratings",Not available
Samsung Galaxy A01 16GB BLACK VERIZON (Renewed),3.7,427 ratings,Not available
Samsung Galaxy S22+ 5G S906U 128GB GSM/CDMA Unlocked Android Smartphone (USA Version) - Phantom Black (Renewed),4.2,"1,832 ratings",Not available
"Samsung Galaxy S20 FE 5G, 128GB, Cloud Navy - Unlocked (Renewed)",3.9,"9,406 ratings",Not available
"Samsung Galaxy A20 32GB 6.4"" Display A205U Black Unlocked Smartphone (Renewed)",3.8,718 ratings,Not available
"Apple iPhone 14 Pro, 256GB, Space Black - Unlocked (Renewed)",4.0,"3,332 ratings",Not available
Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),3.9,"3,733 ratings",Not available
"SAMSUNG Galaxy Z Flip 3 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",4.0,"4,498 ratings",Not available
"Samsung Galaxy A13 5G Cell Phone, AT&T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",3.9,"1,606 ratings",Not available
"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",4.2,"55,571 ratings",Not available
"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera & Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",4.0,"3,011 ratings",Not available
"Apple iPhone 12 Mini, 64GB, Blue - Unlocked (Renewed)",4.0,"15,422 ratings",Not available
"Apple iPhone 15, 128GB, Black - Unlocked (Renewed Premium)",4.2,321 ratings,Not available
"Samsung Galaxy A14 5G A Series, Factory Unlocked, 64GB, US Version, Black (Renewed)",3.8,"1,258 ratings",Not available
"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",4.0,"15,036 ratings",Not available
"Apple iPhone 14, 128GB, Purple - Unlocked (Renewed)",4.1,"4,444 ratings",Not available
"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",3.8,"3,047 ratings",Not available
